id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
WestA509ToAvebury.25,450.0,773_0,4.6,0.0,0.0,1469.0,213_0,19.13,12.66,1019.0,2322.98,685.0,19,0.0,840.46,0,tripinfo_WestA509ToAvebury.25 emissions_WestA509ToAvebury.25,electric,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestA509ToAvebury.26,468.0,773_0,5.1,0.0,0.0,1471.0,213_0,19.13,12.94,1003.0,2317.34,666.0,18,0.0,831.27,0,tripinfo_WestA509ToAvebury.26 emissions_WestA509ToAvebury.26,gasoline_euro4,0.98,132839.264194,2627474.078418,665.834553,60.090735,1166.304708,838086.347377,0.0
V6ToEastH6.112,1344.0,468_0,4.6,0.0,0.0,1471.0,522_1,56.88,13.13,127.0,1507.63,0.0,0,0.0,14.09,0,tripinfo_V6ToEastH6.112 emissions_V6ToEastH6.112,electric,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.114,1368.0,468_0,4.6,0.0,0.0,1485.0,522_1,56.88,13.53,117.0,1507.63,0.0,0,0.0,14.67,0,tripinfo_V6ToEastH6.114 emissions_V6ToEastH6.114,electric,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.52,936.0,526_0,4.6,0.0,0.0,1509.0,215_0,19.43,14.5,573.0,2705.63,308.0,7,0.0,395.46,0,tripinfo_SouthEvansGateToSilbury.52 emissions_SouthEvansGateToSilbury.52,electric,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EastSilburyToEastAvebury.16,656.0,317_0,4.6,0.0,0.0,1511.0,213_0,19.13,11.34,855.0,2987.6,495.0,15,0.0,613.41,0,tripinfo_EastSilburyToEastAvebury.16 emissions_EastSilburyToEastAvebury.16,electric,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.54,972.0,526_0,4.6,0.0,0.0,1511.0,215_1,19.43,12.38,539.0,2705.63,254.0,8,0.0,326.49,0,tripinfo_SouthEvansGateToSilbury.54 emissions_SouthEvansGateToSilbury.54,electric,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.115,1380.0,468_0,4.6,0.0,0.0,1512.0,522_1,56.88,11.83,132.0,1507.63,0.0,0,0.0,14.44,0,tripinfo_V6ToEastH6.115 emissions_V6ToEastH6.115,electric,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.55,990.0,526_0,5.1,0.0,0.0,1513.0,215_1,19.43,14.89,523.0,2705.13,234.0,6,0.0,338.56,0,tripinfo_SouthEvansGateToSilbury.55 emissions_SouthEvansGateToSilbury.55,gasoline_euro4,1.08,55754.367341,1501489.275373,288.5536,31.351235,644.679443,478921.295689,0.0
SouthEvansGateToSilbury.53,954.0,526_0,4.6,0.0,0.0,1516.0,215_1,19.43,11.91,562.0,2705.65,273.0,11,0.0,349.43,0,tripinfo_SouthEvansGateToSilbury.53 emissions_SouthEvansGateToSilbury.53,electric,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
