id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
V6ToEastH6.0,0.0,468_1,0.0,0.0,0.0,114.0,522_1,56.88,13.8,114.0,1512.23,0.0,0,0.0,12.7,0,tripinfo_V6ToEastH6.0 emissions_V6ToEastH6.0,gasoline_euro4,1.08,3815.465995,366977.535201,25.261246,5.753517,141.916142,117048.767447,0.0
V6ToEastH6.2,24.0,468_1,0.0,0.0,0.0,152.0,522_1,56.88,13.15,128.0,1512.23,1.0,1,0.0,21.37,0,tripinfo_V6ToEastH6.2 emissions_V6ToEastH6.2,electric,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.4,48.0,468_1,0.0,0.0,0.0,166.0,522_1,56.88,15.43,118.0,1512.23,2.0,1,0.0,23.76,0,tripinfo_V6ToEastH6.4 emissions_V6ToEastH6.4,gasoline_euro4,1.16,5758.969903,421030.858141,35.527165,7.360328,168.204905,134289.230828,0.0
SouthEvansGateToSilbury.0,0.0,526_0,0.0,0.0,0.0,178.0,215_1,19.43,13.89,178.0,1477.59,60.0,1,0.0,76.97,0,tripinfo_SouthEvansGateToSilbury.0 emissions_SouthEvansGateToSilbury.0,electric,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.1,12.0,468_1,0.0,0.0,0.0,191.0,522_1,56.88,13.59,179.0,2031.44,16.0,1,0.0,37.79,0,tripinfo_V6ToEastH6.1 emissions_V6ToEastH6.1,electric,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.5,60.0,468_1,0.0,0.0,0.0,204.0,522_0,56.88,10.43,144.0,1512.23,0.0,0,0.0,12.08,0,tripinfo_V6ToEastH6.5 emissions_V6ToEastH6.5,gasoline_euro4,0.83,3899.438467,320854.236571,25.046257,4.253448,121.350727,102338.771812,0.0
V6ToEastH6.6,72.0,468_1,0.0,0.0,0.0,205.0,522_1,56.88,12.05,133.0,1512.23,0.0,0,0.0,17.88,0,tripinfo_V6ToEastH6.6 emissions_V6ToEastH6.6,electric,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.7,84.0,468_1,0.0,0.0,0.0,206.0,522_0,56.88,15.88,122.0,1512.23,3.0,1,0.0,28.66,0,tripinfo_V6ToEastH6.7 emissions_V6ToEastH6.7,gasoline_euro4,1.17,5420.302308,407822.435698,33.357472,6.724497,160.013235,130076.691391,0.0
V6ToEastH6.9,108.0,468_1,0.0,0.0,0.0,222.0,522_1,56.88,15.04,114.0,1512.23,0.0,0,0.0,14.2,0,tripinfo_V6ToEastH6.9 emissions_V6ToEastH6.9,gasoline_euro4,1.09,4214.003483,374988.366599,27.064122,5.987313,145.196547,119603.900353,0.0
V6ToEastH6.11,132.0,468_1,0.0,0.0,0.0,242.0,522_1,56.88,15.79,110.0,1512.23,0.0,0,0.0,15.97,0,tripinfo_V6ToEastH6.11 emissions_V6ToEastH6.11,gasoline_euro4,1.17,4443.162781,398544.879582,28.468023,6.498501,154.384844,127117.154481,0.0
V6ToEastH6.3,36.0,468_1,0.0,0.0,0.0,249.0,522_0,56.88,12.04,213.0,2010.28,27.0,3,0.0,57.76,0,tripinfo_V6ToEastH6.3 emissions_V6ToEastH6.3,electric,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.8,96.0,468_1,0.0,0.0,0.0,251.0,522_0,56.88,14.68,155.0,2023.91,1.0,1,0.0,20.93,0,tripinfo_V6ToEastH6.8 emissions_V6ToEastH6.8,electric,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
