id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
V6ToEastH6.0,0.0,468_1,0.0,0.0,0.0,147.0,522_0,56.88,11.48,147.0,1512.23,0.0,0,0.0,15.04,0,tripinfo_V6ToEastH6.0 emissions_V6ToEastH6.0,gasoline_euro4,0.83,4439.060702,353061.107013,28.247116,4.849979,134.795365,112611.275751,0.0
V6ToEastH6.4,48.0,468_1,0.0,0.0,0.0,171.0,522_1,56.88,13.49,123.0,1512.23,0.0,0,0.0,15.62,0,tripinfo_V6ToEastH6.4 emissions_V6ToEastH6.4,gasoline_euro4,1.02,4269.469873,372440.856059,27.297824,5.80174,144.609826,118791.552572,0.0
EastA509ToH6.1,18.0,770_0,0.0,0.0,0.0,198.0,522_0,56.88,14.68,180.0,1483.75,59.0,2,0.0,81.63,0,tripinfo_EastA509ToH6.1 emissions_EastA509ToH6.1,gasoline_euro4,1.09,15138.400428,546350.330195,80.950884,10.374929,224.82565,174264.166581,0.0
V6ToEastH6.5,60.0,468_1,0.0,0.0,0.0,198.0,522_1,56.88,11.39,138.0,1512.23,0.0,0,0.0,13.16,0,tripinfo_V6ToEastH6.5 emissions_V6ToEastH6.5,gasoline_euro4,0.87,3923.747354,342320.150308,25.512803,4.630464,129.356534,109185.275336,0.0
V6ToEastH6.7,84.0,468_1,0.0,0.0,0.0,200.0,522_1,56.88,15.68,116.0,1512.23,1.0,1,0.0,23.03,0,tripinfo_V6ToEastH6.7 emissions_V6ToEastH6.7,gasoline_euro4,1.17,5504.027792,422316.072689,34.412406,7.300732,168.104494,134699.065747,0.0
V6ToEastH6.9,108.0,468_1,0.0,0.0,0.0,226.0,522_1,56.88,13.54,118.0,1512.23,0.0,0,0.0,12.39,0,tripinfo_V6ToEastH6.9 emissions_V6ToEastH6.9,gasoline_euro4,1.04,3733.160741,363518.831067,24.975449,5.522538,139.77314,115945.795609,0.0
V6ToEastH6.11,132.0,468_1,0.0,0.0,0.0,243.0,522_1,56.88,15.37,111.0,1512.23,0.0,0,0.0,17.83,0,tripinfo_V6ToEastH6.11 emissions_V6ToEastH6.11,gasoline_euro4,1.17,4568.54366,393830.020918,29.238809,6.566837,154.499064,125613.296582,0.0
V6ToEastH6.8,96.0,468_1,0.0,0.0,0.0,253.0,522_0,56.88,14.63,157.0,2023.91,2.0,1,0.0,23.59,0,tripinfo_V6ToEastH6.8 emissions_V6ToEastH6.8,electric,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.5,90.0,526_0,0.0,0.0,0.0,257.0,215_1,19.43,13.32,167.0,1457.4,35.0,2,0.0,58.16,0,tripinfo_SouthEvansGateToSilbury.5 emissions_SouthEvansGateToSilbury.5,electric,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestH6ToSaxonSt.0,0.0,524_0,0.0,0.0,0.0,277.0,771_1,56.88,14.21,277.0,2578.4,77.0,2,0.0,103.67,0,tripinfo_WestH6ToSaxonSt.0 emissions_WestH6ToSaxonSt.0,electric,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.13,156.0,468_1,0.0,0.0,0.0,279.0,522_1,56.88,13.05,123.0,1512.23,0.0,0,0.0,16.16,0,tripinfo_V6ToEastH6.13 emissions_V6ToEastH6.13,gasoline_euro4,1.02,4158.126489,368681.243831,26.96962,5.668338,142.724734,117592.477308,0.0
V6ToEastH6.14,168.0,468_1,0.0,0.0,0.0,297.0,522_1,56.88,12.85,129.0,1512.23,0.0,0,0.0,18.6,0,tripinfo_V6ToEastH6.14 emissions_V6ToEastH6.14,gasoline_euro4,0.99,4492.7216,369897.066544,28.494623,5.654261,143.165896,117980.512672,0.0
WestH6ToSaxonSt.3,36.0,524_0,0.0,0.0,0.0,312.0,771_1,56.88,11.97,276.0,2767.88,14.0,2,0.0,54.96,0,tripinfo_WestH6ToSaxonSt.3 emissions_WestH6ToSaxonSt.3,gasoline_euro4,0.94,12399.022713,772726.732201,74.02192,12.531355,307.092056,246466.012051,0.0
V6ToEastH6.15,180.0,468_1,0.0,0.0,0.0,313.0,522_1,56.88,11.87,133.0,1512.23,0.0,0,0.0,12.81,0,tripinfo_V6ToEastH6.15 emissions_V6ToEastH6.15,gasoline_euro4,0.91,3994.630162,352175.437305,26.110471,5.072388,135.21597,112328.270023,0.0
EastA509ToH6.4,72.0,770_0,0.0,0.0,0.0,315.0,522_1,56.88,16.29,243.0,2408.83,50.0,3,0.0,94.77,0,tripinfo_EastA509ToH6.4 emissions_EastA509ToH6.4,electric,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.16,192.0,468_1,0.0,0.0,0.0,321.0,522_1,56.88,11.88,129.0,1512.23,0.0,0,0.0,12.36,0,tripinfo_V6ToEastH6.16 emissions_V6ToEastH6.16,gasoline_euro4,0.94,4072.858102,359091.486724,26.545853,5.431856,139.192285,114533.894808,0.0
SouthEvansGateToSilbury.0,0.0,526_0,0.0,0.0,0.0,325.0,215_0,19.43,14.28,325.0,3020.38,69.0,3,0.0,108.96,0,tripinfo_SouthEvansGateToSilbury.0 emissions_SouthEvansGateToSilbury.0,electric,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestA509ToAvebury.0,0.0,773_0,0.0,0.0,0.0,326.0,213_0,19.13,14.48,326.0,2916.27,72.0,3,0.0,121.99,0,tripinfo_WestA509ToAvebury.0 emissions_WestA509ToAvebury.0,electric,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestA509ToAvebury.4,72.0,773_0,0.0,0.0,0.0,334.0,213_0,19.13,14.69,262.0,2277.06,77.0,2,0.0,115.52,0,tripinfo_WestA509ToAvebury.4 emissions_WestA509ToAvebury.4,electric,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.18,216.0,468_1,0.0,0.0,0.0,341.0,522_1,56.88,12.28,125.0,1512.23,0.0,0,0.0,11.86,0,tripinfo_V6ToEastH6.18 emissions_V6ToEastH6.18,gasoline_euro4,0.97,3948.424069,350351.241936,25.622408,5.37951,135.81724,111746.052409,0.0
WestH6ToSaxonSt.1,12.0,524_0,0.0,0.0,0.0,350.0,771_1,56.88,13.99,338.0,2578.36,120.0,4,0.0,158.86,0,tripinfo_WestH6ToSaxonSt.1 emissions_WestH6ToSaxonSt.1,electric,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.19,228.0,468_1,0.0,0.0,0.0,351.0,522_1,56.88,13.1,123.0,1512.23,0.0,0,0.0,14.06,0,tripinfo_V6ToEastH6.19 emissions_V6ToEastH6.19,gasoline_euro4,1.01,4014.270953,363801.153821,25.979071,5.522074,140.182099,116035.960936,0.0
EastA509ToH6.5,90.0,770_0,0.0,0.0,0.0,356.0,522_0,56.88,13.54,266.0,1483.64,132.0,2,0.0,157.7,0,tripinfo_EastA509ToH6.5 emissions_EastA509ToH6.5,gasoline_euro4,0.99,27361.534737,751412.683002,141.562958,15.266261,318.804119,239673.902584,0.0
EastA509ToH6.10,180.0,770_0,0.0,0.0,0.0,357.0,522_0,56.88,14.1,177.0,1483.64,51.0,1,0.0,72.21,0,tripinfo_EastA509ToH6.10 emissions_EastA509ToH6.10,gasoline_euro4,1.02,13590.232287,530816.019667,73.965572,9.978166,219.154665,169308.752242,0.0
EastA509ToH6.8,144.0,770_0,0.0,0.0,0.0,359.0,522_0,56.88,14.52,215.0,1483.75,86.0,2,0.0,116.99,0,tripinfo_EastA509ToH6.8 emissions_EastA509ToH6.8,gasoline_euro4,1.1,20242.29015,657747.654388,107.193525,13.031511,276.328843,209796.163289,0.0
V6ToEastH6.21,252.0,468_1,0.0,0.0,0.0,365.0,522_1,56.88,15.02,113.0,1512.23,0.0,0,0.0,13.56,0,tripinfo_V6ToEastH6.21 emissions_V6ToEastH6.21,gasoline_euro4,1.1,4411.989035,384363.391498,28.553381,6.418174,151.343018,122593.884665,0.0
WestA509ToAvebury.5,90.0,773_0,0.0,0.0,0.0,366.0,213_1,19.13,13.48,276.0,2337.31,67.0,2,0.0,108.86,0,tripinfo_WestA509ToAvebury.5 emissions_WestA509ToAvebury.5,gasoline_euro4,1.02,19507.723387,789093.095522,106.617703,14.3068,321.96898,251688.834315,0.0
SouthEvansGateToSilbury.3,54.0,526_0,0.0,0.0,0.0,367.0,215_0,19.43,11.49,313.0,1471.77,164.0,4,0.0,193.57,0,tripinfo_SouthEvansGateToSilbury.3 emissions_SouthEvansGateToSilbury.3,gasoline_euro4,0.89,33594.171956,830441.381994,171.966411,17.105762,355.046977,264883.117738,0.0
SouthEvansGateToSilbury.6,108.0,526_0,0.0,0.0,0.0,370.0,215_0,19.43,12.52,262.0,1471.71,107.0,3,0.0,151.23,0,tripinfo_SouthEvansGateToSilbury.6 emissions_SouthEvansGateToSilbury.6,gasoline_euro4,0.96,25282.917147,715818.746474,131.604921,14.361812,303.753012,228320.386389,0.0
V6ToEastH6.12,144.0,468_1,0.0,0.0,0.0,370.0,522_1,56.88,13.29,226.0,2031.44,56.0,1,0.0,78.38,0,tripinfo_V6ToEastH6.12 emissions_V6ToEastH6.12,electric,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.4,72.0,526_0,0.0,0.0,0.0,376.0,215_0,19.43,12.64,304.0,1471.74,140.0,5,0.0,189.59,0,tripinfo_SouthEvansGateToSilbury.4 emissions_SouthEvansGateToSilbury.4,gasoline_euro4,0.93,31511.69708,842426.152607,163.001516,17.289447,360.58432,268704.23851,0.0
V6ToEastH6.22,264.0,468_1,0.0,0.0,0.0,383.0,522_1,56.88,13.73,119.0,1512.23,0.0,0,0.0,16.85,0,tripinfo_V6ToEastH6.22 emissions_V6ToEastH6.22,gasoline_euro4,1.07,4554.771028,383733.874752,29.098335,6.263685,150.59062,122393.292611,0.0
WestA509ToEastH6.0,3.0,773_0,0.0,0.0,3.0,390.0,522_1,56.88,13.7,387.0,2765.35,150.0,4,0.0,188.87,0,tripinfo_WestA509ToEastH6.0 emissions_WestA509ToEastH6.0,electric,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.23,276.0,468_1,0.0,0.0,0.0,392.0,522_1,56.88,14.75,116.0,1511.92,0.0,0,0.0,16.2,0,tripinfo_V6ToEastH6.23 emissions_V6ToEastH6.23,gasoline_euro4,1.1,3847.702288,362771.420723,25.103506,5.570377,139.017552,115707.368047,0.0
WestH6ToSaxonSt.7,84.0,524_0,0.0,0.0,0.0,397.0,771_1,56.88,13.81,313.0,2767.88,58.0,3,0.0,106.98,0,tripinfo_WestH6ToSaxonSt.7 emissions_WestH6ToSaxonSt.7,gasoline_euro4,1.01,21128.433501,946972.625299,117.427429,17.026946,386.35745,302044.647865,0.0
EastA509ToH6.0,0.0,770_0,0.0,0.0,0.0,410.0,522_1,56.88,12.18,410.0,3294.59,110.0,2,0.0,155.85,0,tripinfo_EastA509ToH6.0 emissions_EastA509ToH6.0,electric,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestA509ToAvebury.1,18.0,773_0,0.0,0.0,0.0,410.0,213_0,19.13,12.28,392.0,2277.09,184.0,3,0.0,215.38,0,tripinfo_WestA509ToAvebury.1 emissions_WestA509ToAvebury.1,electric,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.2,36.0,526_0,0.0,0.0,0.0,411.0,215_0,19.43,14.65,375.0,3021.06,122.0,2,0.0,176.18,0,tripinfo_SouthEvansGateToSilbury.2 emissions_SouthEvansGateToSilbury.2,electric,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestA509ToAvebury.6,111.0,773_0,0.0,0.0,3.0,417.0,213_0,19.13,14.19,306.0,2332.11,101.0,5,0.0,150.73,0,tripinfo_WestA509ToAvebury.6 emissions_WestA509ToAvebury.6,electric,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.25,300.0,468_1,0.0,0.0,0.0,422.0,522_1,56.88,13.77,122.0,1512.23,0.0,0,0.0,15.25,0,tripinfo_V6ToEastH6.25 emissions_V6ToEastH6.25,gasoline_euro4,1.02,4299.24398,381524.572518,27.730393,5.912809,147.636403,121688.857048,0.0
WestA509ToEastH6.2,75.0,773_0,0.0,0.0,3.0,425.0,522_0,56.88,15.0,350.0,2755.0,116.0,5,0.0,176.36,0,tripinfo_WestA509ToEastH6.2 emissions_WestA509ToEastH6.2,gasoline_euro4,1.15,29879.184903,1058679.412412,159.768791,20.505921,439.546938,337676.783854,0.0
SouthEvansGateToSilbury.1,18.0,526_0,0.0,0.0,0.0,426.0,215_0,19.43,11.74,408.0,3020.38,112.0,2,0.0,147.91,0,tripinfo_SouthEvansGateToSilbury.1 emissions_SouthEvansGateToSilbury.1,electric,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.11,198.0,526_0,0.0,0.0,0.0,433.0,215_1,19.43,12.49,235.0,1477.55,95.0,3,0.0,125.85,0,tripinfo_SouthEvansGateToSilbury.11 emissions_SouthEvansGateToSilbury.11,electric,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.10,180.0,526_0,0.0,0.0,0.0,434.0,215_1,19.43,14.03,254.0,1477.59,123.0,2,0.0,151.12,0,tripinfo_SouthEvansGateToSilbury.10 emissions_SouthEvansGateToSilbury.10,electric,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.28,336.0,468_1,0.0,0.0,0.0,446.0,522_1,56.88,15.28,110.0,1512.23,0.0,0,0.0,15.62,0,tripinfo_V6ToEastH6.28 emissions_V6ToEastH6.28,gasoline_euro4,1.16,4548.739648,405578.852309,29.359758,6.709009,158.126548,129360.584678,0.0
WestH6ToSaxonSt.6,72.0,524_0,0.0,0.0,0.0,447.0,771_1,56.88,13.1,375.0,2587.05,141.0,3,0.0,177.95,0,tripinfo_WestH6ToSaxonSt.6 emissions_WestH6ToSaxonSt.6,electric,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestH6ToSaxonSt.5,60.0,524_0,0.0,0.0,0.0,452.0,771_1,56.88,10.2,392.0,2567.37,128.0,5,0.0,166.51,0,tripinfo_WestH6ToSaxonSt.5 emissions_WestH6ToSaxonSt.5,electric,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestH6ToSaxonSt.4,48.0,524_0,0.0,0.0,0.0,453.0,771_1,56.88,13.06,405.0,2578.39,167.0,7,0.0,243.09,0,tripinfo_WestH6ToSaxonSt.4 emissions_WestH6ToSaxonSt.4,electric,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestA509ToAvebury.3,54.0,773_0,0.0,0.0,0.0,454.0,213_1,19.13,12.99,400.0,2337.25,177.0,5,0.0,231.25,0,tripinfo_WestA509ToAvebury.3 emissions_WestA509ToAvebury.3,gasoline_euro4,1.01,38846.639889,1079747.875419,201.175259,21.426992,454.323013,344401.456007,0.0
SouthEvansGateToSilbury.8,144.0,526_0,0.0,0.0,0.0,455.0,215_1,19.43,13.77,311.0,1471.7,164.0,5,0.0,203.94,0,tripinfo_SouthEvansGateToSilbury.8 emissions_SouthEvansGateToSilbury.8,gasoline_euro4,1.0,34788.237879,884883.105536,178.755199,18.640948,380.992374,282247.050595,0.0
WestA509ToAvebury.2,39.0,773_0,0.0,0.0,3.0,456.0,213_0,19.13,12.17,417.0,2337.25,181.0,5,0.0,223.02,0,tripinfo_WestA509ToAvebury.2 emissions_WestA509ToAvebury.2,gasoline_euro4,0.88,38536.053494,1069568.995983,199.841918,20.508072,446.947328,341155.622733,0.0
