id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
V6ToEastH6.0,0.0,468_1,0.0,0.0,0.0,114.0,522_1,56.88,14.72,114.0,1512.23,0.0,0,0.0,12.55,0,tripinfo_V6ToEastH6.0 emissions_V6ToEastH6.0,gasoline_euro4,1.08,3669.426105,363314.46352,24.216052,5.504637,138.608995,115880.554561,0.0
V6ToEastH6.2,24.0,468_1,0.0,0.0,0.0,141.0,522_1,56.88,14.27,117.0,1512.23,0.0,0,0.0,12.75,0,tripinfo_V6ToEastH6.2 emissions_V6ToEastH6.2,electric,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.1,12.0,468_1,0.0,0.0,0.0,148.0,522_0,56.88,12.22,136.0,1512.23,0.0,0,0.0,12.43,0,tripinfo_V6ToEastH6.1 emissions_V6ToEastH6.1,electric,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.3,36.0,468_1,0.0,0.0,0.0,165.0,522_1,56.88,13.06,129.0,1512.23,0.0,0,0.0,13.3,0,tripinfo_V6ToEastH6.3 emissions_V6ToEastH6.3,electric,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.4,48.0,468_1,0.0,0.0,0.0,170.0,522_1,56.88,13.45,122.0,1512.23,0.0,0,0.0,14.5,0,tripinfo_V6ToEastH6.4 emissions_V6ToEastH6.4,gasoline_euro4,1.02,3784.473393,357411.49372,24.865194,5.290292,136.707399,113998.022096,0.0
V6ToEastH6.5,60.0,468_1,0.0,0.0,0.0,205.0,522_0,56.88,10.49,145.0,1512.23,0.0,0,0.0,12.53,0,tripinfo_V6ToEastH6.5 emissions_V6ToEastH6.5,gasoline_euro4,0.83,4003.809445,337970.076025,25.858193,4.323326,126.613734,107798.125676,0.0
V6ToEastH6.6,72.0,468_1,0.0,0.0,0.0,205.0,522_1,56.88,11.54,133.0,1512.23,0.0,0,0.0,14.18,0,tripinfo_V6ToEastH6.6 emissions_V6ToEastH6.6,electric,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.7,84.0,468_1,0.0,0.0,0.0,207.0,522_0,56.88,15.5,123.0,1512.23,1.0,1,0.0,29.16,0,tripinfo_V6ToEastH6.7 emissions_V6ToEastH6.7,gasoline_euro4,1.17,6021.473424,439917.464849,37.3165,7.804631,177.398556,140313.034681,0.0
V6ToEastH6.8,96.0,468_1,0.0,0.0,0.0,207.0,522_1,56.88,15.18,111.0,1512.23,0.0,0,0.0,18.22,0,tripinfo_V6ToEastH6.8 emissions_V6ToEastH6.8,electric,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.9,108.0,468_1,0.0,0.0,0.0,227.0,522_1,56.88,13.86,119.0,1512.23,0.0,0,0.0,12.48,0,tripinfo_V6ToEastH6.9 emissions_V6ToEastH6.9,gasoline_euro4,1.03,4074.388459,372229.449799,26.498922,5.799704,144.066087,118724.034449,0.0
V6ToEastH6.10,120.0,468_1,0.0,0.0,0.0,241.0,522_1,56.88,14.49,121.0,1512.23,1.0,1,0.0,20.15,0,tripinfo_V6ToEastH6.10 emissions_V6ToEastH6.10,electric,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.11,132.0,468_1,0.0,0.0,0.0,243.0,522_1,56.88,15.12,111.0,1512.23,0.0,0,0.0,17.32,0,tripinfo_V6ToEastH6.11 emissions_V6ToEastH6.11,gasoline_euro4,1.17,4466.640279,392809.537527,29.045939,6.624777,154.321102,125287.721132,0.0
SouthEvansGateToSilbury.1,18.0,526_0,0.0,0.0,0.0,256.0,215_1,19.43,12.2,238.0,1477.55,96.0,3,0.0,124.11,0,tripinfo_SouthEvansGateToSilbury.1 emissions_SouthEvansGateToSilbury.1,electric,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.0,0.0,526_0,0.0,0.0,0.0,258.0,215_1,19.43,13.62,258.0,1477.59,123.0,2,0.0,153.86,0,tripinfo_SouthEvansGateToSilbury.0 emissions_SouthEvansGateToSilbury.0,electric,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.2,36.0,526_0,0.0,0.0,0.0,259.0,215_1,19.43,15.2,223.0,1477.52,86.0,3,0.0,127.88,0,tripinfo_SouthEvansGateToSilbury.2 emissions_SouthEvansGateToSilbury.2,electric,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.12,144.0,468_1,0.0,0.0,0.0,267.0,522_1,56.88,12.58,123.0,1512.23,0.0,0,0.0,13.67,0,tripinfo_V6ToEastH6.12 emissions_V6ToEastH6.12,electric,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestH6ToSaxonSt.2,24.0,524_0,0.0,0.0,0.0,272.0,771_0,56.88,13.97,248.0,2608.48,35.0,1,0.0,62.01,0,tripinfo_WestH6ToSaxonSt.2 emissions_WestH6ToSaxonSt.2,electric,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EastA509ToH6.0,0.0,770_0,0.0,0.0,0.0,276.0,522_0,56.88,10.57,276.0,1483.75,125.0,2,0.0,146.67,0,tripinfo_EastA509ToH6.0 emissions_EastA509ToH6.0,electric,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.13,156.0,468_1,0.0,0.0,0.0,276.0,522_1,56.88,13.38,120.0,1512.23,0.0,0,0.0,12.78,0,tripinfo_V6ToEastH6.13 emissions_V6ToEastH6.13,gasoline_euro4,1.02,3964.998857,360033.929777,25.864602,5.588891,139.264243,114834.264315,0.0
WestA509ToAvebury.2,36.0,773_0,0.0,0.0,0.0,278.0,213_0,19.13,13.1,242.0,2337.25,49.0,1,0.0,70.5,0,tripinfo_WestA509ToAvebury.2 emissions_WestA509ToAvebury.2,gasoline_euro4,0.99,13659.857777,646800.051364,76.356783,10.663956,255.535712,206302.895082,0.0
WestA509ToEastH6.0,3.0,773_0,0.0,0.0,3.0,284.0,522_1,56.88,13.36,281.0,2762.5,43.0,2,0.0,81.96,0,tripinfo_WestA509ToEastH6.0 emissions_WestA509ToEastH6.0,electric,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.14,168.0,468_1,0.0,0.0,0.0,292.0,522_1,56.88,12.92,124.0,1512.23,0.0,0,0.0,12.83,0,tripinfo_V6ToEastH6.14 emissions_V6ToEastH6.14,gasoline_euro4,0.99,3787.16381,359906.414111,25.152173,5.344786,138.150797,114793.772322,0.0
V6ToEastH6.15,180.0,468_1,0.0,0.0,0.0,312.0,522_1,56.88,11.48,132.0,1512.23,0.0,0,0.0,12.48,0,tripinfo_V6ToEastH6.15 emissions_V6ToEastH6.15,gasoline_euro4,0.91,3897.414543,350632.33107,25.668698,5.07274,134.502559,111836.040496,0.0
WestA509ToEastH6.1,36.0,773_1,0.0,0.0,0.0,320.0,522_1,56.88,12.81,284.0,3082.3,0.0,0,0.0,40.38,0,tripinfo_WestA509ToEastH6.1 emissions_WestA509ToEastH6.1,electric,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.16,192.0,468_1,0.0,0.0,0.0,323.0,522_1,56.88,11.95,131.0,1512.23,0.0,0,0.0,14.43,0,tripinfo_V6ToEastH6.16 emissions_V6ToEastH6.16,gasoline_euro4,0.94,4201.738426,364053.680538,27.07338,5.428859,140.507978,116116.734789,0.0
V6ToEastH6.17,204.0,468_1,0.0,0.0,0.0,335.0,522_1,56.88,12.69,131.0,1512.23,0.0,0,0.0,19.87,0,tripinfo_V6ToEastH6.17 emissions_V6ToEastH6.17,electric,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.18,216.0,468_1,0.0,0.0,0.0,339.0,522_1,56.88,13.98,123.0,1512.23,0.0,0,0.0,15.39,0,tripinfo_V6ToEastH6.18 emissions_V6ToEastH6.18,gasoline_euro4,1.02,4250.997087,382588.314629,27.790205,5.923207,148.323228,122028.138722,0.0
WestA509ToEastH6.2,75.0,773_0,0.0,0.0,3.0,341.0,522_0,56.88,14.88,266.0,2754.97,48.0,3,0.0,92.55,0,tripinfo_WestA509ToEastH6.2 emissions_WestA509ToEastH6.2,gasoline_euro4,1.15,16210.904033,810007.207326,91.258402,14.035006,321.955273,258357.960177,0.0
SouthEvansGateToSilbury.7,126.0,526_0,0.0,0.0,0.0,345.0,215_1,19.43,11.77,219.0,1477.55,70.0,3,0.0,93.24,0,tripinfo_SouthEvansGateToSilbury.7 emissions_SouthEvansGateToSilbury.7,electric,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.5,90.0,526_0,0.0,0.0,0.0,347.0,215_1,19.43,13.25,257.0,1477.59,124.0,2,0.0,151.72,0,tripinfo_SouthEvansGateToSilbury.5 emissions_SouthEvansGateToSilbury.5,electric,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
